,2022,2021,2020,2019
MSFT,364840000000.0,333779000000.0,301311000000.0,286556000000.0
AMZN,420549000000.0,321195000000.0,225248000000.0,162648000000.0
TSLA,62131000000.0,52148000000.0,34309000000.0,29740000000.0
GOOGL,359268000000.0,319616000000.0,275909000000.0,232792000000.0
GOOG,359268000000.0,319616000000.0,275909000000.0,232792000000.0
JNJ,182018000000.0,174894000000.0,157728000000.0,152954000000.0
XOM,338923000000.0,332750000000.0,362597000000.0,346196000000.0
JPM,3743567000000.0,3384757000000.0,2687379000000.0,2622532000000.0
META,165987000000.0,159316000000.0,133376000000.0,97334000000.0
V,85501000000.0,82896000000.0,80919000000.0,72574000000.0
PG,117208000000.0,119307000000.0,120700000000.0,115095000000.0
NVDA,44187000000.0,28791000000.0,17315000000.0,13292000000.0
HD,71876000000.0,70581000000.0,51236000000.0,44003000000.0
CVX,239535000000.0,239790000000.0,237428000000.0,253863000000.0
LLY,48806000000.0,46633100000.0,39286100000.0,43908400000.0
MA,37669000000.0,33584000000.0,29236000000.0,24860000000.0
ABBV,146529000000.0,150565000000.0,89115000000.0,59352000000.0
PFE,181476000000.0,154229000000.0,167594000000.0,159422000000.0
MRK,105694000000.0,91588000000.0,84397000000.0,82637000000.0
PEP,92377000000.0,92918000000.0,78547000000.0,77648000000.0
BAC,3169495000000.0,2819627000000.0,2434079000000.0,2354507000000.0
KO,94354000000.0,87296000000.0,86381000000.0,83216000000.0
COST,64166000000.0,59268000000.0,55556000000.0,45400000000.0
AVGO,75570000000.0,75933000000.0,67493000000.0,50124000000.0
TMO,95123000000.0,69052000000.0,58381000000.0,56232000000.0
WMT,244860000000.0,252496000000.0,236495000000.0,219295000000.0
CSCO,94002000000.0,97497000000.0,94853000000.0,97793000000.0
MCD,53854300000.0,52626800000.0,47510800000.0,32811200000.0
ACN,47263390000.0,43175843000.0,37078593000.0,29789880000.0
ABT,75196000000.0,72548000000.0,67887000000.0,67173000000.0
DIS,203609000000.0,201549000000.0,193984000000.0,98598000000.0
DHR,83184000000.0,76161000000.0,62082000000.0,47832500000.0
WFC,1948068000000.0,1952911000000.0,1927555000000.0,1895883000000.0
BMY,109314000000.0,118481000000.0,129944000000.0,34986000000.0
LIN,81605000000.0,88229000000.0,86612000000.0,93386000000.0
NEE,140912000000.0,127684000000.0,117691000000.0,103702000000.0
TXN,24676000000.0,19351000000.0,18018000000.0,17137000000.0
ADBE,27241000000.0,24284000000.0,20762000000.0,18768682000.0
VZ,366596000000.0,316481000000.0,291727000000.0,264829000000.0
CMCSA,275905000000.0,273869000000.0,263414000000.0,251684000000.0
PM,41290000000.0,44815000000.0,42875000000.0,39801000000.0
COP,90661000000.0,62618000000.0,70514000000.0,69980000000.0
AMGN,61165000000.0,62948000000.0,59707000000.0,66416000000.0
RTX,161404000000.0,162153000000.0,139615000000.0,134211000000.0
HON,64470000000.0,64586000000.0,58679000000.0,57773000000.0
CRM,95209000000.0,66301000000.0,55126000000.0,30737000000.0
