,2022,2021,2020,2019
MSFT,13931000000.0,14224000000.0,13576000000.0,11356000000.0
AMZN,36220000000.0,42122000000.0,36092000000.0,31750000000.0
TSLA,17576000000.0,19384000000.0,6268000000.0,3686000000.0
GOOGL,20945000000.0,26465000000.0,18498000000.0,16701000000.0
GOOG,20945000000.0,26465000000.0,18498000000.0,16701000000.0
JNJ,14487000000.0,13985000000.0,17305000000.0,18107000000.0
XOM,6802000000.0,4364000000.0,3089000000.0,3042000000.0
JPM,721201000000.0,503209000000.0,217142000000.0,238077000000.0
META,16601000000.0,17576000000.0,19079000000.0,10019000000.0
V,15689000000.0,16487000000.0,16289000000.0,7838000000.0
PG,7214000000.0,10288000000.0,16181000000.0,4239000000.0
NVDA,1990000000.0,847000000.0,10896000000.0,782000000.0
HD,2343000000.0,7895000000.0,2133000000.0,1778000000.0
CVX,5640000000.0,5596000000.0,5686000000.0,9342000000.0
LLY,3818500000.0,3657100000.0,2337500000.0,7320700000.0
MA,7421000000.0,10113000000.0,6988000000.0,6682000000.0
ABBV,9746000000.0,8449000000.0,39924000000.0,7289000000.0
PFE,1944000000.0,1786000000.0,1121000000.0,1139000000.0
MRK,8096000000.0,8050000000.0,9676000000.0,7965000000.0
PEP,5596000000.0,8185000000.0,5509000000.0,8721000000.0
BAC,342321000000.0,373463000000.0,137160000000.0,156526000000.0
KO,9684000000.0,6795000000.0,6480000000.0,9077000000.0
COST,10203000000.0,11258000000.0,12277000000.0,8384000000.0
AVGO,12163000000.0,7618000000.0,5055000000.0,4292000000.0
TMO,4477000000.0,10325000000.0,2399000000.0,2103000000.0
WMT,14760000000.0,17741000000.0,9465000000.0,7722000000.0
CSCO,7079000000.0,9175000000.0,11809000000.0,11750000000.0
MCD,4709200000.0,3449100000.0,898500000.0,866000000.0
ACN,7889833000.0,8168174000.0,8415330000.0,6126853000.0
ABT,9799000000.0,6838000000.0,3860000000.0,3844000000.0
DIS,15959000000.0,17914000000.0,5418000000.0,4150000000.0
DHR,2586000000.0,6035000000.0,19912000000.0,787800000.0
WFC,299241000000.0,329084000000.0,243390000000.0,253494000000.0
BMY,13979000000.0,14546000000.0,12346000000.0,6911000000.0
LIN,2823000000.0,3754000000.0,2700000000.0,4466000000.0
NEE,639000000.0,1105000000.0,600000000.0,638000000.0
TXN,4631000000.0,3107000000.0,2437000000.0,2438000000.0
ADBE,3844000000.0,4478000000.0,2650000000.0,1642775000.0
VZ,2921000000.0,22171000000.0,2594000000.0,2745000000.0
CMCSA,8711000000.0,11740000000.0,5500000000.0,3814000000.0
PM,4496000000.0,7280000000.0,6861000000.0,6593000000.0
COP,5028000000.0,2991000000.0,5088000000.0,5915000000.0
AMGN,7989000000.0,6266000000.0,6037000000.0,6945000000.0
RTX,7832000000.0,8802000000.0,4937000000.0,6152000000.0
HON,10959000000.0,14275000000.0,9067000000.0,9287000000.0
CRM,5464000000.0,6195000000.0,4145000000.0,2669000000.0
