,2022,2021,2020,2019
MSFT,166542000000.0,141988000000.0,118304000000.0,102330000000.0
AMZN,138245000000.0,93404000000.0,62060000000.0,43549000000.0
TSLA,30189000000.0,22225000000.0,6618000000.0,4923000000.0
GOOGL,251635000000.0,222544000000.0,201442000000.0,177628000000.0
GOOG,251635000000.0,222544000000.0,201442000000.0,177628000000.0
JNJ,74023000000.0,63278000000.0,59471000000.0,59752000000.0
XOM,168577000000.0,157150000000.0,191650000000.0,191794000000.0
JPM,259289000000.0,249291000000.0,234337000000.0,230447000000.0
META,124879000000.0,128290000000.0,101054000000.0,84127000000.0
V,33257000000.0,34509000000.0,31124000000.0,29222000000.0
PG,45746000000.0,45508000000.0,45624000000.0,46266000000.0
NVDA,26612000000.0,16893000000.0,12204000000.0,9342000000.0
HD,-1696000000.0,3299000000.0,-3116000000.0,-1878000000.0
CVX,139067000000.0,131688000000.0,144213000000.0,154554000000.0
LLY,8979200000.0,5641600000.0,2606900000.0,9828700000.0
MA,7312000000.0,6391000000.0,5893000000.0,5395000000.0
ABBV,15408000000.0,13076000000.0,-8172000000.0,-8446000000.0
PFE,77201000000.0,63238000000.0,63126000000.0,63388000000.0
MRK,38184000000.0,25317000000.0,25907000000.0,26701000000.0
PEP,16043000000.0,13454000000.0,14786000000.0,14518000000.0
BAC,245358000000.0,248414000000.0,241409000000.0,242999000000.0
KO,22999000000.0,19299000000.0,18981000000.0,16981000000.0
COST,20642000000.0,17564000000.0,18284000000.0,15243000000.0
AVGO,24962000000.0,23874000000.0,24941000000.0,26657000000.0
TMO,40793000000.0,34507000000.0,29675000000.0,27586000000.0
WMT,83253000000.0,80925000000.0,74669000000.0,72496000000.0
CSCO,39773000000.0,41275000000.0,37920000000.0,33571000000.0
MCD,-4601000000.0,-7824900000.0,-8210300000.0,-6258400000.0
ACN,22106097000.0,19529454000.0,17000536000.0,14409008000.0
ABT,35802000000.0,32784000000.0,31088000000.0,30524000000.0
DIS,88553000000.0,83583000000.0,88877000000.0,48773000000.0
DHR,41899000000.0,36498000000.0,28671000000.0,28214400000.0
WFC,168195000000.0,164419000000.0,166740000000.0,174454000000.0
BMY,35946000000.0,37822000000.0,51598000000.0,14031000000.0
LIN,44035000000.0,47317000000.0,49074000000.0,51596000000.0
NEE,37202000000.0,36513000000.0,37005000000.0,34144000000.0
TXN,13333000000.0,9187000000.0,8907000000.0,8994000000.0
ADBE,14797000000.0,13264000000.0,10530000000.0,9362114000.0
VZ,81790000000.0,67842000000.0,61395000000.0,53145000000.0
CMCSA,96092000000.0,90323000000.0,82726000000.0,71613000000.0
PM,-10106000000.0,-12567000000.0,-11577000000.0,-12459000000.0
COP,45406000000.0,29849000000.0,34981000000.0,31939000000.0
AMGN,6700000000.0,9409000000.0,9673000000.0,12500000000.0
RTX,73068000000.0,72163000000.0,41774000000.0,38446000000.0
HON,18569000000.0,17549000000.0,18494000000.0,18180000000.0
CRM,58131000000.0,41493000000.0,33885000000.0,15605000000.0
