,2022,2021,2020,2019
MSFT,135620000000,115856000000,96937000000,82933000000
AMZN,197478000000,152757000000,114986000000,93731000000
TSLA,13606000000,6630000000,4069000000,4042000000
GOOGL,146698000000,97795000000,89961000000,77270000000
GOOG,146698000000,97795000000,89961000000,77270000000
JNJ,64020000000,54157000000,54503000000,54490000000
XOM,90045000000,57157000000,81066000000,90308000000
JPM,130898000000,102471000000,110134000000,103744000000
META,95280000000,69273000000,57927000000,46483000000
V,28567000000,23375000000,21119000000,22256000000
PG,38212000000,39144000000,35700000000,32916000000
NVDA,17475000000,10557000000,6768000000,7171000000
HD,50832000000,44853000000,37572000000,37160000000
CVX,66234000000,43983000000,59752000000,64324000000
LLY,21345300000,19056500000,17598300000,16811600000
MA,18884000000,15301000000,16883000000,14950000000
ABBV,38883000000,31747000000,25827000000,25035000000
PFE,50627000000,33284000000,33058000000,31953000000
MRK,35463000000,29963000000,28061000000,28943000000
PEP,42429000000,38637000000,37178000000,35280000000
BAC,93707000000,74208000000,85582000000,87738000000
KO,23298000000,19581000000,22647000000,21233000000
COST,27572000000,25245000000,21822000000,19817000000
AVGO,20288000000,17370000000,15874000000,13827000000
TMO,19638000000,16008000000,11328000000,10869000000
WMT,143754000000,138836000000,129359000000,129104000000
CSCO,32248000000,31894000000,31683000000,32666000000
MCD,12580200000,9752100000,11179400000,10832600000
ACN,19701539000,16364128000,13976158000,13314688000
ABT,25009000000,19753000000,18673000000,17882000000
DIS,22287000000,21508000000,27546000000,26708000000
DHR,18056000000,13043000000,9984000000,9505000000
WFC,82948000000,60243000000,84227000000,84696000000
BMY,37048000000,34045000000,18247000000,16151000000
LIN,13250000000,11860000000,11584000000,5816000000
NEE,8589000000,10707000000,11201000000,9665000000
TXN,12376000000,9269000000,9164000000,10277000000
ADBE,13920000000,11146000000,9498000000,7835000000
VZ,77312000000,77091000000,77142000000,75355000000
CMCSA,77935000000,70443000000,74502000000,64815000000
PM,21375000000,19125000000,19292000000,18867000000
COP,22936000000,6794000000,16182000000,17984000000
AMGN,19525000000,19265000000,19006000000,19646000000
RTX,12525000000,8620000000,10932000000,7236000000
HON,10998000000,10468000000,12370000000,12756000000
CRM,19466000000,15814000000,12863000000,9831000000
