,2022,2021,2020,2019
MSFT,198270000000,168088000000,143015000000,125843000000
AMZN,469822000000,386064000000,280522000000,232887000000
TSLA,53823000000,31536000000,24578000000,21461000000
GOOGL,257637000000,182527000000,161857000000,136819000000
GOOG,257637000000,182527000000,161857000000,136819000000
JNJ,93775000000,82584000000,82059000000,81581000000
XOM,278981000000,179784000000,259497000000,281060000000
JPM,130898000000,102471000000,110134000000,103744000000
META,117929000000,85965000000,70697000000,55838000000
V,29310000000,24105000000,21846000000,22977000000
PG,80187000000,76118000000,70950000000,67684000000
NVDA,26914000000,16675000000,10918000000,11716000000
HD,151157000000,132110000000,110225000000,108203000000
CVX,155606000000,94471000000,139865000000,158902000000
LLY,28318400000,24539800000,22319500000,21493300000
MA,18884000000,15301000000,16883000000,14950000000
ABBV,56197000000,45804000000,33266000000,32753000000
PFE,81288000000,41651000000,40905000000,40825000000
MRK,48704000000,41518000000,39121000000,42294000000
PEP,79474000000,70372000000,67161000000,64661000000
BAC,93707000000,74208000000,85582000000,87738000000
KO,38655000000,33014000000,37266000000,34300000000
COST,226954000000,195929000000,166761000000,152703000000
AVGO,27450000000,23888000000,22597000000,20848000000
TMO,39211000000,32218000000,25542000000,24358000000
WMT,572754000000,559151000000,523964000000,514405000000
CSCO,51557000000,49818000000,49301000000,51904000000
MCD,23222900000,19207800000,21364400000,21257900000
ACN,61594305000,50533389000,44327039000,43215013000
ABT,43075000000,34608000000,31904000000,30578000000
DIS,67418000000,65388000000,69607000000,59434000000
DHR,29453000000,22284000000,17911000000,17049000000
WFC,82948000000,60243000000,84227000000,84696000000
BMY,46385000000,42518000000,26145000000,22561000000
LIN,30793000000,27243000000,28228000000,14836000000
NEE,17069000000,17997000000,19204000000,16727000000
TXN,18344000000,14461000000,14383000000,15784000000
ADBE,15785000000,12868000000,11171000000,9030000000
VZ,133613000000,128292000000,131868000000,130863000000
CMCSA,116385000000,103564000000,108942000000,94507000000
PM,31405000000,28694000000,29805000000,29625000000
COP,46660000000,19216000000,33346000000,37491000000
AMGN,25979000000,25424000000,23362000000,23747000000
RTX,64388000000,56587000000,45349000000,34701000000
HON,34392000000,32637000000,36709000000,41802000000
CRM,26492000000,21252000000,17098000000,13282000000
