,Trailing P/E,Price/Sales,Price/Book,PEG,Forward P/E
MSFT,25.87,8.9,10.32,2.13,25.25
AMZN,,,,,
TSLA,55.93,8.33,14.33,1.48,33.22
GOOGL,20.38,5.27,5.59,1.34,18.02
GOOG,20.57,5.32,5.64,1.36,18.18
BRK.B,,,,,
UNH,25.87,1.61,6.61,1.61,21.19
JNJ,24.53,4.89,6.17,3.8,16.92
XOM,10.56,1.17,2.27,1.69,9.08
JPM,11.52,3.29,1.57,,10.63
META,10.44,2.54,2.34,2.37,13.44
V,29.87,15.24,12.44,1.6,25.19
PG,25.21,4.57,7.97,4.74,25.06
NVDA,66.55,13.82,18.02,3.69,35.97
HD,19.05,2.07,248.09,1.63,18.66
CVX,43.77,,,,
LLY,,,,,
MA,35.97,16.26,54.42,1.34,29.24
ABBV,21.09,4.86,17.49,,13.81
PFE,9.48,2.84,3.0,,9.96
MRK,18.25,4.74,6.28,1.34,14.56
PEP,26.12,3.03,13.26,3.09,24.88
BAC,11.71,3.27,1.23,98.64,9.86
KO,27.4,6.42,11.85,3.52,24.69
COST,40.26,1.04,11.34,3.76,36.76
AVGO,22.57,7.15,10.12,0.82,12.79
TMO,30.34,4.83,4.86,4.1,23.42
WMT,47.07,0.7,5.75,4.0,23.53
CSCO,17.43,3.84,4.92,2.3,13.61
MCD,34.48,8.76,,3.32,26.25
ACN,26.89,3.01,8.21,2.94,25.25
ABT,23.7,4.13,,17.71,23.75
DIS,54.11,2.09,1.78,0.76,22.88
DHR,,,,,
WFC,12.36,2.46,1.16,0.19,9.35
BMY,25.74,3.67,5.14,,9.99
LIN,,,,,
NEE,43.92,8.48,4.38,2.18,27.78
TXN,18.13,7.97,10.82,2.94,22.37
ADBE,32.23,9.03,10.57,1.62,21.37
VZ,8.33,1.19,1.84,5.64,7.56
CMCSA,,,,,
PM,17.4,4.79,,3.39,16.84
COP,14.03,,,,
AMGN,22.63,5.86,41.19,1.58,15.2
RTX,32.48,2.2,2.04,1.8,18.59
HON,27.75,4.27,8.23,2.07,23.7
CRM,291.69,5.18,2.52,1.57,27.1
