,true,pred
2023-09-01,296.3800048828125,296.5782569013239
2023-09-02,297.32250213623047,298.22773577468297
2023-09-03,298.26499938964844,299.48364030098094
2023-09-04,299.2074966430664,299.98513057168987
2023-09-05,300.1499938964844,300.5457431984041
2023-09-06,299.1700134277344,299.2066482769323
2023-09-07,298.6700134277344,301.47296903834115
2023-09-08,297.8900146484375,302.78304738502794
2023-09-09,301.11334228515625,304.47554832394337
2023-09-10,304.33666992187494,306.23968618850967
2023-09-11,307.5599975585937,308.0636217671721
2023-09-12,301.6600036621094,304.0061321574764
2023-09-13,305.0599975585937,306.1125201002307
2023-09-14,311.7200012207031,310.7679198304004
2023-09-15,300.3099975585937,301.98910618280024
2023-09-16,301.05666097005206,302.0749835213395
2023-09-17,301.8033243815104,302.32241972196135
2023-09-18,302.54998779296875,302.75933986042446
2023-09-19,305.07000732421875,303.76669354720633
2023-09-20,299.6700134277344,303.3244463682965
2023-09-21,295.7300109863281,298.27498627432703
2023-09-22,299.0799865722656,303.7869813612602
2023-09-23,299.66331990559894,302.16402720900305
2023-09-24,300.2466532389323,300.6031627569805
2023-09-25,300.8299865722656,299.09849457921763
2023-09-26,298.9599914550781,299.3025527912573
2023-09-27,297.739990234375,291.16077148952604
2023-09-28,303.9599914550781,303.54867578797905
2023-09-29,300.2099914550781,303.7903552597765
2023-09-30,302.413330078125,304.4484050679292
2023-10-01,304.6166687011719,305.19423193614915
2023-10-02,306.82000732421875,305.9753405037972
2023-10-03,300.94000244140625,303.1302783134359
2023-10-04,305.5799865722656,305.7520635497466
2023-10-05,304.7900085449219,302.6185454281501
2023-10-06,315.42999267578125,313.51080572442186
2023-10-07,316.4066569010417,315.32102037186917
2023-10-08,317.38332112630206,317.119478258398
2023-10-09,318.3599853515625,318.9382750438752
2023-10-10,321.8399963378906,323.22004660785984
2023-10-11,327.82000732421875,327.8971350352217
2023-10-12,324.1600036621094,325.952630611703
2023-10-13,314.69000244140625,316.26595674953205
2023-10-14,316.8433329264323,317.15832174600837
2023-10-15,318.9966634114583,318.1337550804906
2023-10-16,321.1499938964844,319.1806112174094
2023-10-17,324.0,322.98083624264825
2023-10-18,316.9700012207031,321.03276765122126
2023-10-19,312.8099975585937,315.8105620168619
2023-10-20,308.6499938964844,309.69801651488706
2023-10-21,310.43666585286456,311.1394160263334
2023-10-22,312.2233378092448,312.7528481402551
2023-10-23,314.010009765625,314.49474036647223
2023-10-24,312.54998779296875,313.7020145319783
2023-10-25,299.5299987792969,302.41012241347585
2023-10-26,288.3500061035156,283.35877459652727
2023-10-27,296.7300109863281,297.14868600442924
2023-10-28,298.70667521158856,300.32510394500775
2023-10-29,300.68333943684894,303.7045194743034
2023-10-30,302.6600036621094,307.2973344238375
2023-10-31,301.2699890136719,299.1438608314414
